label_3,active,nonconvex,l_factor,l_factor_fix,cap_max,cap_min,capex_pipes,fix_costs
DN-20,1,1,0.0024073,0.0161,66.88,0,0.925538,680.0
DN-25,1,1,0.001874,0.0188,100.32,0,0.701754,705.0
DN-32,1,1,0.00112005,0.0206,183.92,0,0.429535,740.0
DN-40,1,1,9.2504e-04,0.0232,250.8,0,0.348884,780.0
DN-50,1,1,6.55294e-04,0.0252,384.56,0,0.249636,830.0
DN-65,1,1,4.41664e-04,0.0288,652.08,0,0.173292,900.0
DN-80,1,1,3.41925e-04,0.0303,886.16,0,0.1467,970.0
DN-100,1,1,2.09995e-04,0.0316,1504.8,0,0.106326,1060.0
DN-125,1,1,1.51658e-04,0.0355,2340.8,0,0.083305,1170.0
DN-150,1,1,1.1872e-04,0.0397,3344.0,0,0.06878,1280.0
DN-200,1,1,7.05742e-05,0.0413,5852.0,0,0.054682,1480.0
DN-250,1,1,5.7527e-05,0.05194,9028.8,0,0.048733,1655.0
