id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,forks-12,forks-0,470,DN-150,3066.516706,1,700730.0589481796,189.7657257680704
1,forks-0,consumers-0,240,DN-150,2666.50417,1,351216.517635024,85.50417001497601
2,forks-0,forks-1,390,DN-40,210.246811,1,332807.18187948037,84.8978169185016
3,forks-1,forks-2,60,DN-32,125.348994,1,47630.5068082674,9.659828443782
4,forks-2,forks-3,200,DN-32,115.689165,1,157938.50909765498,30.03552985165
5,forks-3,consumers-1,100,DN-32,85.653635,1,77679.1234109725,11.653635388175
6,forks-1,forks-11,460,,0.0,0,0.0,0.0
7,forks-11,forks-10,560,,0.0,0,0.0,0.0
8,forks-10,forks-9,780,DN-65,469.660418,-1,765482.9466617238,184.26103710733057
9,forks-9,forks-8,680,,0.0,0,0.0,0.0
10,forks-8,consumers-4,240,DN-32,155.834067,1,193664.68463252278,46.83406721840401
11,forks-8,forks-7,570,DN-50,271.672535,-1,511756.96961993823,115.83846782566529
12,forks-7,consumers-3,240,DN-40,241.092949,1,207387.23338053984,59.092949170310405
13,forks-7,forks-6,420,DN-200,3382.280621,-1,699278.9449453593,117.60073458108286
14,forks-6,producers-1,250,DN-250,6674.449722,-1,495066.4895755565,108.97526728937349
15,forks-6,forks-5,580,DN-150,3183.193834,1,869385.2417034616,242.2130877440384
16,forks-5,forks-4,1030,,0.0,0,0.0,0.0
17,forks-4,forks-12,1000,,0.0,0,0.0,0.0
18,forks-7,consumers-2,330,DN-150,2751.914402,1,484861.30194795475,120.9144016757952
19,forks-12,producers-0,190,DN-150,3145.000862,-1,284299.5002647884,78.4841554439616
20,forks-5,consumers-9,540,DN-150,2940.980746,1,800431.5540833352,209.9807464491648
21,forks-4,consumers-8,610,DN-65,514.064784,1,603340.8218748461,156.06478434395137
23,forks-4,producers-4,492,DN-80,635.957705,-1,523141.137699162,121.89292043480549
24,forks-14,forks-2,910,,0.0,0,0.0,0.0
25,forks-10,consumers-7,360,DN-50,285.399381,1,324448.54555511376,76.39938071028503
26,forks-13,consumers-7,390,,0.0,0,0.0,0.0
27,producers-3,forks-9,290,DN-65,548.231284,1,288551.18774340913,78.57086632680704
28,forks-15,consumers-4,760,,0.0,0,0.0,0.0
29,forks-15,consumers-6,610,DN-65,457.94537,1,597408.5441254044,140.9453701763648
30,forks-15,forks-16,880,DN-80,693.184396,-1,943087.332786016,235.239025650024
31,forks-16,consumers-5,300,DN-65,607.07725,1,301560.4892421,89.0772499632
32,forks-16,forks-17,420,DN-100,1440.590722,-1,509532.34462509624,140.3290764398838
33,forks-17,forks-6,580,,0.0,0,0.0,0.0
34,forks-17,producers-2,171,DN-100,1499.852752,-1,208529.941774265,59.26202995021705
