Cost component,Annual cost [€]
Biomass fuel,464967.18841850525
Gas fuel,374243.5484985036
Waste fuel,236217.2446643081
WtE CHP O&M,94694.60334974091
Electricity for heat pump,53711.673274430905
Biomass CHP O&M,34689.174649846624
Heat Pump O&M,21104.901704168184
Gas boiler startup,8247.936
Gas boiler O&M,7146.5968339836645
Biomass CHP startup,1038.0
WtE CHP startup,738.0000000000001
Solar Collector O&M,286.93466465924854
Heat Pump startup,-4013.2200000000003
Electricity revenue,-281983.6819817083
