thermal_demand_MW,electricity_price_Euro_Per_MWh,co2_price,gas_price_Euro_Per_MWh,biomass_Euro_Per_MWh
5.28662327,29.56,63.5,30.57,20
5.17240522,28.46,63.5,30.57,20
5.18954363,26.66,63.5,30.57,20
5.08802088,24.48,63.5,30.57,20
5.25009382,24.01,63.5,30.57,20
5.29944841,21.23,63.5,30.57,20
5.32160119,22.62,63.5,30.57,20
5.35240622,25.04,63.5,30.57,20
5.35712101,26.24,63.5,30.57,20
5.36722979,32.21,63.5,30.57,20
5.48059417,41.34,63.5,30.57,20
5.56411695,43.51,63.5,30.57,20
5.55354016,43.02,63.5,30.57,20
5.56773227,44.29,63.5,30.57,20
5.53834436,46.24,63.5,30.57,20
5.55502617,50.61,63.5,30.57,20
5.49000945,59.47,63.5,30.57,20
5.57092649,64.99,63.5,30.57,20
5.85370683,61.74,63.5,30.57,20
5.52549194,55.07,63.5,30.57,20
5.35869119,48.01,63.5,30.57,20
5.2928416,44.01,63.5,30.57,20
5.43084192,45.2,63.5,30.57,20
5.45061958,38,63.5,30.57,20
5.41726731,38,63.5,30.57,20
5.36494071,33.56,63.5,30.57,20
5.30423261,32.03,63.5,30.57,20
5.31314207,32.29,63.5,30.57,20
5.27366729,36.7,63.5,30.57,20
5.24716413,41.72,63.5,30.57,20
5.29766252,49.18,63.5,30.57,20
5.50473916,58.75,63.5,30.57,20
5.5516201,65.67,63.5,30.57,20
5.60595616,66.11,63.5,30.57,20
5.54830226,68.98,63.5,30.57,20
5.52398017,73.54,63.5,30.57,20
5.14708451,78.16,63.5,30.57,20
5.16578781,78.87,63.5,30.57,20
5.22104861,79.24,63.5,30.57,20
5.40146896,79.96,63.5,30.57,20
5.47867766,81.46,63.5,30.57,20
5.35528289,80.92,63.5,30.57,20
5.44171219,74.95,63.5,30.57,20
5.34998831,63.18,63.5,30.57,20
5.32050564,57.11,63.5,30.57,20
5.30631279,48.04,63.5,30.57,20
5.23166146,40.99,63.5,30.57,20
5.11499111,38.35,63.5,30.57,20
5.13272302,40.8,63.5,32.795,20
5.16937904,39.21,63.5,32.795,20
4.95937458,37.36,63.5,32.795,20
4.98888237,36.17,63.5,32.795,20
4.85597501,38.21,63.5,32.795,20
4.87609834,42.58,63.5,32.795,20
4.95607669,49.44,63.5,32.795,20
5.06309947,53.53,63.5,32.795,20
5.15505413,63.48,63.5,32.795,20
5.23028151,64.99,63.5,32.795,20
5.38811903,60.19,63.5,32.795,20
5.68876394,59.96,63.5,32.795,20
5.76199334,59.8,63.5,32.795,20
5.80646467,58.86,63.5,32.795,20
5.8659803,64.99,63.5,32.795,20
5.99994317,68.83,63.5,32.795,20
6.03616856,73.59,63.5,32.795,20
6.08674547,82.28,63.5,32.795,20
6.12753011,82.97,63.5,32.795,20
5.83994718,79.03,63.5,32.795,20
5.6902113,73.23,63.5,32.795,20
5.56842835,67.41,63.5,32.795,20
5.52702028,65,63.5,32.795,20
5.33351043,58.12,63.5,32.795,20
5.26807643,58.71,63.5,33.41,20
5.26790103,53.6,63.5,33.41,20
5.21305386,54.44,63.5,33.41,20
5.10752446,55.18,63.5,33.41,20
4.98561884,58.25,63.5,33.41,20
5.16131954,59.15,63.5,33.41,20
5.5211383,72.65,63.5,33.41,20
5.81285306,85.02,63.5,33.41,20
5.87932565,91.47,63.5,33.41,20
5.98779188,94.2,63.5,33.41,20
6.01920136,91.98,63.5,33.41,20
6.12951543,90.4,63.5,33.41,20
6.01006683,86.69,63.5,33.41,20
6.00620587,85.96,63.5,33.41,20
5.97310678,92.11,63.5,33.41,20
5.90577286,98.62,63.5,33.41,20
5.86535554,105.73,63.5,33.41,20
5.71899811,133.23,63.5,33.41,20
5.89861119,144.65,63.5,33.41,20
5.72775254,124.29,63.5,33.41,20
5.7118374,102.99,63.5,33.41,20
5.51212005,99.44,63.5,33.41,20
5.41836121,94.75,63.5,33.41,20
5.21907425,88.83,63.5,33.41,20
5.21207198,88.23,63.5,34.55,20
5.18429378,83.09,63.5,34.55,20
5.04849076,80,63.5,34.55,20
5.09423455,80.17,63.5,34.55,20
5.12255027,82.49,63.5,34.55,20
5.24941387,88.14,63.5,34.55,20
5.39537996,109.12,63.5,34.55,20
5.67471818,162.07,63.5,34.55,20
5.7950752,279.03,63.5,34.55,20
5.87891472,246.87,63.5,34.55,20
6.10497414,255.86,63.5,34.55,20
6.26682692,211.11,63.5,34.55,20
6.30566891,203.28,63.5,34.55,20
6.41630019,196.98,63.5,34.55,20
6.43950397,197.86,63.5,34.55,20
6.42618071,299.94,63.5,34.55,20
6.60935568,449.64,63.5,34.55,20
6.45612846,526.25,63.5,34.55,20
6.38718532,349.95,63.5,34.55,20
5.94302651,181.91,63.5,34.55,20
6.05751523,149.6,63.5,34.55,20
5.96939705,112.82,63.5,34.55,20
5.94294438,100.1,63.5,34.55,20
5.76581376,92.87,63.5,34.55,20
5.71697079,84.88,63.5,34.55,20
