id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,forks-12,forks-0,470,pipe-typ-A,2674.336539,1,2513876.34666,12.569381733300002
1,forks-0,consumers-0,240,pipe-typ-A,2587.209302,1,1241860.46496,6.209302324800001
2,forks-0,forks-1,390,pipe-typ-A,74.557855,1,58155.1269,0.29077563450000005
3,forks-1,forks-2,60,pipe-typ-A,74.267079,1,8912.04948,0.0445602474
4,forks-2,forks-3,200,pipe-typ-A,74.222519,1,29689.0076,0.14844503800000003
5,forks-3,consumers-1,100,pipe-typ-A,74.074074,1,14814.8148,0.074074074
6,forks-1,forks-11,460,,0.0,0,0.0,0.0
7,forks-11,forks-10,560,,0.0,0,0.0,0.0
8,forks-10,forks-9,780,,0.0,0,0.0,0.0
9,forks-9,forks-8,680,pipe-typ-A,110.010299,1,149614.00664,0.7480700332000001
10,forks-8,consumers-4,240,pipe-typ-A,109.262229,1,52445.869920000005,0.2622293496
11,forks-8,forks-7,570,,0.0,0,0.0,0.0
12,forks-7,consumers-3,240,pipe-typ-A,182.437851,1,87570.16848,0.43785084240000005
13,forks-7,forks-6,420,pipe-typ-A,2834.051915,-1,2380603.6086,11.903018043000001
14,forks-6,producers-1,250,pipe-typ-A,2841.154802,-1,1420577.401,7.102887005000001
15,forks-6,forks-5,580,,0.0,0,0.0,0.0
16,forks-5,forks-4,1030,,0.0,0,0.0,0.0
17,forks-4,forks-12,1000,,0.0,0,0.0,0.0
18,forks-7,consumers-2,330,pipe-typ-A,2639.711046,1,1742209.29036,8.7110464518
19,forks-12,producers-0,190,pipe-typ-A,2679.427451,-1,1018182.43138,5.090912156900001
20,forks-13,producers-2,1030,pipe-typ-A,101.415958,-1,208916.87348,1.0445843674000002
21,forks-9,producers-2,260,pipe-typ-A,110.297072,-1,57354.47744,0.28677238720000003
22,forks-13,consumers-8,370,pipe-typ-A,100.371374,1,74274.81676,0.37137408380000003
23,forks-10,consumers-8,370,,0.0,0,0.0,0.0
